pack_name,file_number,file_name,directory,directory_depth_1,directory_depth_2,directory_depth_3,base_name,payload_offset,stored_bytes,compression_flag,compression_method,frame_offset,original_bytes,original_size_source,compression_ratio_percent,content_prefix_hex,decompression_status,decompression_error
models_other.pack,0,art\animated_rigids\chs_teeth_ring_anim.rigid_model_v2,art\animated_rigids,art,art\animated_rigids,art\animated_rigids,chs_teeth_ring_anim.rigid_model_v2,193703,201336,0,NONE,,201336,uncompressed-payload,100.00,524d563207000000010000006275696c64696e67000000000000000000000000,not-needed,
models_other.pack,2,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot\grn_boar1_body_01.rigid_model_v2,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot,art,art\campaign,art\campaign\chariots,grn_boar1_body_01.rigid_model_v2,395293,343752,0,NONE,,343752,uncompressed-payload,100.00,524d5632080000000100000063616d706169676e626f617263686172696f7430,not-needed,
models_other.pack,4,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot\grn_boar2_body_01.rigid_model_v2,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot,art,art\campaign,art\campaign\chariots,grn_boar2_body_01.rigid_model_v2,739372,273992,0,NONE,,273992,uncompressed-payload,100.00,524d5632080000000100000063616d706169676e626f617263686172696f7430,not-needed,
models_other.pack,6,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot\grn_orc_boyz_body_01.rigid_model_v2,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot,art,art\campaign,art\campaign\chariots,grn_orc_boyz_body_01.rigid_model_v2,1013668,286582,0,NONE,,286582,uncompressed-payload,100.00,524d5632080000000100000063616d706169676e626f617263686172696f7430,not-needed,
models_other.pack,8,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot\grn_orc_warboss_boar_chariot_01.rigid_model_v2,art\campaign\chariots\cam_bch1\grn\grn_orc_warboss_boar_chariot,art,art\campaign,art\campaign\chariots,grn_orc_warboss_boar_chariot_01.rigid_model_v2,1300588,214152,0,NONE,,214152,uncompressed-payload,100.00,524d5632080000000100000063616d706169676e626f617263686172696f7430,not-needed,
models_other.pack,10,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood\def_cauldron_of_blood_01.rigid_model_v2,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood,art,art\campaign,art\campaign\chariots,def_cauldron_of_blood_01.rigid_model_v2,1514995,840206,0,NONE,,840206,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e626c6f6f646361756c64726f,not-needed,
models_other.pack,12,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood\def_witch_elf_01.rigid_model_v2,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood,art,art\campaign,art\campaign\chariots,def_witch_elf_01.rigid_model_v2,2355517,449442,0,NONE,,449442,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e626c6f6f646361756c64726f,not-needed,
models_other.pack,13,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood\def_witch_elf_02.rigid_model_v2,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood,art,art\campaign,art\campaign\chariots,def_witch_elf_02.rigid_model_v2,2804959,476176,0,NONE,,476176,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e626c6f6f646361756c64726f,not-needed,
models_other.pack,14,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood\def_witch_elf_dagger_01.rigid_model_v2,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood,art,art\campaign,art\campaign\chariots,def_witch_elf_dagger_01.rigid_model_v2,3281135,24280,0,NONE,,24280,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e626c6f6f646361756c64726f,not-needed,
models_other.pack,15,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood\def_witch_elf_dagger_02.rigid_model_v2,art\campaign\chariots\cam_cbc1\def\def_death_hag_cauldron_of_blood,art,art\campaign,art\campaign\chariots,def_witch_elf_dagger_02.rigid_model_v2,3305415,23164,0,NONE,,23164,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e626c6f6f646361756c64726f,not-needed,
models_other.pack,16,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart\vmp_cam_corpse_cart_01.rigid_model_v2,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart,art,art\campaign,art\campaign\chariots,vmp_cam_corpse_cart_01.rigid_model_v2,3328579,976778,0,NONE,,976778,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e636f72707365636172743031,not-needed,
models_other.pack,18,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart\vmp_cam_corpse_cart_bell_01.rigid_model_v2,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart,art,art\campaign,art\campaign\chariots,vmp_cam_corpse_cart_bell_01.rigid_model_v2,4305615,84248,0,NONE,,84248,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e636f72707365636172743031,not-needed,
models_other.pack,20,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart\vmp_cam_corpse_cart_cauldron_01.rigid_model_v2,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart,art,art\campaign,art\campaign\chariots,vmp_cam_corpse_cart_cauldron_01.rigid_model_v2,4390098,76572,0,NONE,,76572,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e636f72707365636172743031,not-needed,
models_other.pack,22,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart\vmp_cam_corpse_cart_helman_01.rigid_model_v2,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart,art,art\campaign,art\campaign\chariots,vmp_cam_corpse_cart_helman_01.rigid_model_v2,4466909,1060858,0,NONE,,1060858,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e636f72707365636172743031,not-needed,
models_other.pack,24,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart\vmp_cam_corpse_cart_zombies.rigid_model_v2,art\campaign\chariots\cam_cc1\vmp\vmp_campaign_corpse_cart,art,art\campaign,art\campaign\chariots,vmp_cam_corpse_cart_zombies.rigid_model_v2,5528029,915414,0,NONE,,915414,uncompressed-payload,100.00,524d5632070000000100000063616d706169676e636f72707365636172743031,not-needed,
models_other.pack,26,art\campaign\chariots\cam_cch1\chs_marauder_chariot\chs_chariot_01.rigid_model_v2,art\campaign\chariots\cam_cch1\chs_marauder_chariot,art,art\campaign,art\campaign\chariots,chs_chariot_01.rigid_model_v2,6443802,1279594,0,NONE,,1279594,uncompressed-payload,100.00,524d5632080000000400000063616d706169676e6368616f7363686172696f74,not-needed,
