pack_name,file_number,file_path,stored_bytes,is_compressed,compression_method,compression_frame_offset,payload_offset
data.pack,0,animation\campaign\dragonship01\dragonship_01_attack_01.anim,3197,1,ZSTD,4,769508
data.pack,3,animation\campaign\dragonship01\dragonship_01_idle_01.anim,3307,1,ZSTD,4,773234
data.pack,6,animation\campaign\dragonship01\dragonship_01_locomotion.anim,4007,1,ZSTD,4,777107
data.pack,9,animation\campaign\dragonship01\dragonship_01_selection_01.anim,5025,1,ZSTD,4,781709
data.pack,10,animation\campaign\dragonship01\dragonship_01_sink_01.anim,6387,1,ZSTD,4,786734
anim2.pack,30838,animations\battle\advisor01\porthole\ad1_porthole_stand_idle_01.anim,31722,1,ZSTD,4,16700240
anim2.pack,30839,animations\battle\ape01\attacks\ap01_attack_01.anim,9344,1,ZSTD,4,16731962
anim2.pack,30841,animations\battle\ape01\attacks\ap01_attack_02.anim,11149,1,ZSTD,4,16741431
anim2.pack,30843,animations\battle\ape01\attacks\ap01_attack_03.anim,8754,1,ZSTD,4,16752838
anim2.pack,30845,animations\battle\ape01\attacks\ap01_jump_attack_01.anim,11000,1,ZSTD,4,16761803
anim2.pack,30847,animations\battle\ape01\combat_idles\ap01_combat_idle_01.anim,12134,1,ZSTD,4,16773057
anim2.pack,30848,animations\battle\ape01\combat_idles\ap01_combat_idle_02.anim,21278,1,ZSTD,4,16785191
anim2.pack,30849,animations\battle\ape01\combat_idles\ap01_combat_idle_03.anim,15899,1,ZSTD,4,16806469
anim2.pack,30850,animations\battle\ape01\death\ap01_run_death_01.anim,8216,1,ZSTD,4,16822368
anim2.pack,30852,animations\battle\ape01\death\ap01_stand_death_01.anim,10176,1,ZSTD,4,16830651
anim2.pack,30854,animations\battle\ape01\death\ap01_stand_death_02.anim,7384,1,ZSTD,4,16840894
anim2.pack,30856,animations\battle\ape01\death\ap01_walk_death_01.anim,9235,1,ZSTD,4,16848345
anim2.pack,30858,animations\battle\ape01\defends\ap01_defend_back_01_01.anim,8469,1,ZSTD,4,16857643
anim2.pack,30860,animations\battle\ape01\defends\ap01_defend_back_02_01.anim,8973,1,ZSTD,4,16866179
anim2.pack,30862,animations\battle\ape01\locomotion\ap01_charge_01.anim,5074,1,ZSTD,4,16875219
anim2.pack,30863,animations\battle\ape01\locomotion\ap01_run_01.anim,5045,1,ZSTD,4,16880293
anim2.pack,30864,animations\battle\ape01\locomotion\ap01_walk_01.anim,6853,1,ZSTD,4,16885338
anim2.pack,30865,animations\battle\ape01\movement\ap01_step_backward_01.anim,7690,1,ZSTD,4,16892191
anim2.pack,30866,animations\battle\ape01\movement\ap01_step_forward_01.anim,8943,1,ZSTD,4,16899881
anim2.pack,30867,animations\battle\ape01\movement\ap01_step_left_01.anim,7910,1,ZSTD,4,16908824
anim2.pack,30868,animations\battle\ape01\movement\ap01_step_right_01.anim,7855,1,ZSTD,4,16916734
anim2.pack,30869,animations\battle\ape01\movement\ap01_turn_left_90_01.anim,11040,1,ZSTD,4,16924589
anim2.pack,30870,animations\battle\ape01\movement\ap01_turn_right_90_01.anim,14346,1,ZSTD,4,16935629
anim2.pack,30871,animations\battle\ape01\stand\ap01_stand_01.anim,5821,1,ZSTD,4,16949975
anim2.pack,30873,animations\battle\ape01\stand\ap01_stand_idle_01.anim,19206,1,ZSTD,4,16955909
anim2.pack,30874,animations\battle\ape01\stand\ap01_stand_idle_02.anim,19776,1,ZSTD,4,16975115
anim2.pack,30876,animations\battle\ape01\stand\ap01_stand_idle_03.anim,16767,1,ZSTD,4,16995004
anim2.pack,30878,animations\battle\badmoon01\badmoon01_stand_idle_01.anim,3184,1,ZSTD,4,17011884
anim2.pack,30879,animations\battle\banners\banner_hor_01.anim,8186,1,ZSTD,4,17015068
anim2.pack,30880,animations\battle\banners\banner_lzd_01.anim,2420,1,ZSTD,4,17023254
anim2.pack,30881,animations\battle\banners\banner_ver_01.anim,1764,1,ZSTD,4,17025674
anim2.pack,30882,animations\battle\banners\banner_wef_01.anim,5739,1,ZSTD,4,17027438
anim2.pack,30883,animations\battle\bat01\attacks\ba1_attack_01.anim,6831,1,ZSTD,4,17033177
anim2.pack,30885,animations\battle\bat01\attacks\ba1_attack_02.anim,6851,1,ZSTD,4,17040122
anim2.pack,30887,animations\battle\bat01\attacks\ba1_cst_attack_01.anim,16386,1,ZSTD,4,17047087
anim2.pack,30889,animations\battle\bat01\attacks\ba1_cst_jump_attack_01.anim,16037,1,ZSTD,4,17063540
anim2.pack,30890,animations\battle\bat01\attacks\ba1_fly_attack_01.anim,6832,1,ZSTD,4,17079577
anim2.pack,30892,animations\battle\bat01\attacks\ba1_fly_attack_02.anim,6855,1,ZSTD,4,17086476
anim2.pack,30894,animations\battle\bat01\attacks\ba1_jump_attack_01.anim,6837,1,ZSTD,4,17093398
anim2.pack,30896,animations\battle\bat01\deaths\ba1_fly_death_fall_01.anim,4843,1,ZSTD,4,17100349
anim2.pack,30899,animations\battle\bat01\deaths\ba1_fly_death_hit_01.anim,5501,1,ZSTD,4,17105311
anim2.pack,30901,animations\battle\bat01\deaths\ba1_fly_death_land_01.anim,10260,1,ZSTD,4,17110865
anim2.pack,30903,animations\battle\bat01\deaths\ba1_fly_death_land_02.anim,8653,1,ZSTD,4,17121251
anim2.pack,30905,animations\battle\bat01\deaths\ba1_stand_death_01.anim,8702,1,ZSTD,4,17130030
anim2.pack,30907,animations\battle\bat01\deaths\ba1_stand_death_02.anim,8841,1,ZSTD,4,17138790
anim2.pack,30909,animations\battle\bat01\defends\ba1_fly_defend_01.anim,6290,1,ZSTD,4,17147689
anim2.pack,30911,animations\battle\bat01\hit_reactions\ba1_cst_hit_reaction_01.anim,14172,1,ZSTD,4,17154032
anim2.pack,30913,animations\battle\bat01\hit_reactions\ba1_fly_hit_reaction_01.anim,6292,1,ZSTD,4,17168253
anim2.pack,30915,animations\battle\bat01\porthole\ba1_cst_comp_scene_idle_01.anim,16793,1,ZSTD,4,17174603
anim2.pack,30916,animations\battle\bat01\porthole\ba1_porthole_affirmative_01.anim,31643,1,ZSTD,4,17191396
anim2.pack,30917,animations\battle\bat01\porthole\ba1_porthole_idle_01.anim,31559,1,ZSTD,4,17223039
anim2.pack,30918,animations\battle\bat01\stand\ba1_cst_aim_level_stand_01.anim,11302,1,ZSTD,4,17254598
anim2.pack,30920,animations\battle\bat01\stand\ba1_cst_stand_01.anim,32236,1,ZSTD,4,17265977
anim2.pack,30921,animations\battle\bat01\stand\ba1_fly_stand_path_01.anim,52358,1,ZSTD,4,17298213
anim2.pack,30922,animations\battle\bat01\stand\ba1_stand_01.anim,31455,1,ZSTD,4,17350571
anim2.pack,30923,animations\battle\bear01\attacks\be01_vs_hu1_sws_matched_attack_01.anim,33843,1,ZSTD,4,17382026
anim2.pack,30926,animations\battle\bear01\attacks\be1_attack_01.anim,21344,1,ZSTD,4,17416516
anim2.pack,30928,animations\battle\bear01\attacks\be1_attack_02.anim,19837,1,ZSTD,4,17438245
anim2.pack,30930,animations\battle\bear01\attacks\be1_attack_03.anim,24173,1,ZSTD,4,17458492
anim2.pack,30932,animations\battle\bear01\attacks\be1_attack_04.anim,22826,1,ZSTD,4,17482992
anim2.pack,30934,animations\battle\bear01\attacks\be1_attack_05.anim,23904,1,ZSTD,4,17506040
anim2.pack,30937,animations\battle\bear01\attacks\be1_draught_attack_01.anim,7297,1,ZSTD,4,17530284
anim2.pack,30939,animations\battle\bear01\attacks\be1_draught_attack_02.anim,7368,1,ZSTD,4,17537708
anim2.pack,30941,animations\battle\bear01\attacks\be1_draught_attack_03.anim,7367,1,ZSTD,4,17545207
anim2.pack,30943,animations\battle\bear01\attacks\be1_elemental_attack_02.anim,30125,1,ZSTD,4,17552686
anim2.pack,30945,animations\battle\bear01\attacks\be1_elemental_attack_03.anim,32495,1,ZSTD,4,17583442
anim2.pack,30947,animations\battle\bear01\attacks\be1_elemental_attack_04.anim,37151,1,ZSTD,4,17616305
anim2.pack,30949,animations\battle\bear01\attacks\be1_elemental_attack_05.anim,29930,1,ZSTD,4,17654350
anim2.pack,30951,animations\battle\bear01\attacks\be1_elemental_attack_06.anim,19652,1,ZSTD,4,17684884
anim2.pack,30953,animations\battle\bear01\attacks\be1_elemental_attack_07.anim,36821,1,ZSTD,4,17705117
anim2.pack,30955,animations\battle\bear01\attacks\be1_elemental_jumping_attack_01.anim,28876,1,ZSTD,4,17742583
anim2.pack,30957,animations\battle\bear01\attacks\be1_elemental_match_attack_high_01.anim,17328,1,ZSTD,4,17772114
anim2.pack,30958,animations\battle\bear01\attacks\be1_elemental_match_attack_mid_01.anim,15988,1,ZSTD,4,17789442
anim2.pack,30960,animations\battle\bear01\attacks\be1_elemental_vs_dr4_iron_matched_attack_01.anim,33433,1,ZSTD,4,17805621
anim2.pack,30963,animations\battle\bear01\attacks\be1_elemental_vs_hu1_sws_matched_attack_01.anim,42915,1,ZSTD,4,17839602
anim2.pack,30966,animations\battle\bear01\attacks\be1_jumping_attack_01.anim,18082,1,ZSTD,4,17883018
anim2.pack,30968,animations\battle\bear01\attacks\be1_jumping_attack_02.anim,25751,1,ZSTD,4,17901375
anim2.pack,30970,animations\battle\bear01\campaign\cam_be1_attack_01.anim,13690,1,ZSTD,4,17927293
anim2.pack,30972,animations\battle\bear01\campaign\cam_be1_death_02.anim,7267,1,ZSTD,4,17941130
anim2.pack,30973,animations\battle\bear01\campaign\cam_be1_defend_back_01.anim,13268,1,ZSTD,4,17948397
anim2.pack,30974,animations\battle\bear01\campaign\cam_be1_run_02.anim,5526,1,ZSTD,4,17961665
anim2.pack,30975,animations\battle\bear01\campaign\cam_be1_stand_idle_03.anim,28190,1,ZSTD,4,17967191
anim2.pack,30976,animations\battle\bear01\campaign\cam_be1_stand_idle_04.anim,36011,1,ZSTD,4,17995381
anim2.pack,30977,animations\battle\bear01\campaign\cam_be1_stand_idle_05.anim,25927,1,ZSTD,4,18031392
anim2.pack,30978,animations\battle\bear01\combat_idles\be1_attack_idle_01.anim,27558,1,ZSTD,4,18057319
anim2.pack,30980,animations\battle\bear01\deaths\be01_death_01.anim,20180,1,ZSTD,4,18085039
anim2.pack,30982,animations\battle\bear01\deaths\be01_death_02.anim,20604,1,ZSTD,4,18105306
anim2.pack,30984,animations\battle\bear01\deaths\be01_draught_death_01.anim,19020,1,ZSTD,4,18125996
anim2.pack,30986,animations\battle\bear01\deaths\be01_draught_death_02.anim,7267,1,ZSTD,4,18145098
