extension,total_files,NONE_count,NONE_percent,LZ4_count,LZ4_percent,ZSTD_count,ZSTD_percent,UNKNOWN_count,UNKNOWN_percent
.anim,36345,6,0.02,1355,3.73,34984,96.26,0,0.00
.animpack,38,0,0.00,38,100.00,0,0.00,0,0.00
.assetdb,3,0,0.00,0,0.00,3,100.00,0,0.00
.atlas,18,0,0.00,0,0.00,18,100.00,0,0.00
.bat,1,0,0.00,0,0.00,1,100.00,0,0.00
.battle_speech_camera,232,0,0.00,0,0.00,232,100.00,0,0.00
.benchmark,5,0,0.00,0,0.00,5,100.00,0,0.00
.bin,25792,0,0.00,0,0.00,25792,100.00,0,0.00
.bmd,5619,0,0.00,0,0.00,5619,100.00,0,0.00
.bnk,4765,4765,100.00,0,0.00,0,0.00,0,0.00
.bob,4,0,0.00,1,25.00,3,75.00,0,0.00
.bone_inv_trans_mats,678,0,0.00,211,31.12,467,68.88,0,0.00
.bone_table,1,0,0.00,0,0.00,1,100.00,0,0.00
.ca_vp8,1145,1145,100.00,0,0.00,0,0.00,0,0.00
.campaign_tree_list,10,0,0.00,0,0.00,10,100.00,0,0.00
.cco,41,0,0.00,0,0.00,41,100.00,0,0.00
.cindyscene,787,0,0.00,0,0.00,787,100.00,0,0.00
.cindyscene_temp,37,0,0.00,0,0.00,37,100.00,0,0.00
.cindyscenemanager,216,0,0.00,0,0.00,216,100.00,0,0.00
.cindyscenemanager_temp,31,0,0.00,0,0.00,31,100.00,0,0.00
.code-snippets,2,0,0.00,0,0.00,2,100.00,0,0.00
.code-workspace,2,0,0.00,0,0.00,2,100.00,0,0.00
.collision,4661,0,0.00,4661,100.00,0,0.00,0,0.00
.composite_scene,1,0,0.00,0,0.00,1,100.00,0,0.00
.compressed_map,7831,0,0.00,208,2.66,7623,97.34,0,0.00
.crpy,1,0,0.00,0,0.00,1,100.00,0,0.00
.cs2,23,0,0.00,23,100.00,0,0.00,0,0.00
.csc,2207,0,0.00,246,11.15,1961,88.85,0,0.00
.css,2,0,0.00,0,0.00,2,100.00,0,0.00
.csv,385,0,0.00,0,0.00,385,100.00,0,0.00
.cuf,1108,0,0.00,0,0.00,1108,100.00,0,0.00
.dat,14,13,92.86,0,0.00,1,7.14,0,0.00
.data,256,0,0.00,0,0.00,256,100.00,0,0.00
.dds,41796,1,0.00,133,0.32,41662,99.68,0,0.00
.eff,1,0,0.00,0,0.00,1,100.00,0,0.00
.environment,85,0,0.00,0,0.00,85,100.00,0,0.00
.environment_group,129,0,0.00,0,0.00,129,100.00,0,0.00
.esf,40,0,0.00,0,0.00,40,100.00,0,0.00
.exe,1,0,0.00,0,0.00,1,100.00,0,0.00
.exr,3,0,0.00,3,100.00,0,0.00,0,0.00
.fbx,1,0,0.00,0,0.00,1,100.00,0,0.00
.fxc,27,27,100.00,0,0.00,0,0.00,0,0.00
.grass,6308,0,0.00,0,0.00,6308,100.00,0,0.00
.hlsl,3,0,0.00,0,0.00,3,100.00,0,0.00
.hlsl_compiled,11121,11121,100.00,0,0.00,0,0.00,0,0.00
.html,126,0,0.00,0,0.00,126,100.00,0,0.00
.index,343,0,0.00,0,0.00,343,100.00,0,0.00
.inl,1,0,0.00,0,0.00,1,100.00,0,0.00
.jpg,4,0,0.00,0,0.00,4,100.00,0,0.00
.js,2,0,0.00,0,0.00,2,100.00,0,0.00
.json,109,0,0.00,0,0.00,109,100.00,0,0.00
.kfa,171,0,0.00,0,0.00,171,100.00,0,0.00
.kfc,13,0,0.00,0,0.00,13,100.00,0,0.00
.kfc_temp,2,0,0.00,0,0.00,2,100.00,0,0.00
.kfcs,1393,0,0.00,0,0.00,1393,100.00,0,0.00
.kfcs_temp,30,0,0.00,0,0.00,30,100.00,0,0.00
.kfe,114,0,0.00,0,0.00,114,100.00,0,0.00
.kfe_temp,1,0,0.00,0,0.00,1,100.00,0,0.00
.kfl,127,0,0.00,0,0.00,127,100.00,0,0.00
.kfl_temp,2,0,0.00,0,0.00,2,100.00,0,0.00
.kfp,53,0,0.00,0,0.00,53,100.00,0,0.00
.kfsl,12,0,0.00,0,0.00,12,100.00,0,0.00
.ktr,142,0,0.00,0,0.00,142,100.00,0,0.00
.ktr_temp,4,0,0.00,0,0.00,4,100.00,0,0.00
.layer,1,0,0.00,0,0.00,1,100.00,0,0.00
.lighting,5,0,0.00,0,0.00,5,100.00,0,0.00
.loc,247,0,0.00,0,0.00,247,100.00,0,0.00
.log,1,1,100.00,0,0.00,0,0.00,0,0.00
.lua,834,0,0.00,0,0.00,834,100.00,0,0.00
.ma,5,0,0.00,0,0.00,5,100.00,0,0.00
.manifest,1,1,100.00,0,0.00,0,0.00,0,0.00
.material,12544,0,0.00,10573,84.29,1971,15.71,0,0.00
.met,1,0,0.00,0,0.00,1,100.00,0,0.00
.meta,62230,0,0.00,1080,1.74,61150,98.26,0,0.00
.mvscene,2,0,0.00,2,100.00,0,0.00,0,0.00
.odt,1,0,0.00,0,0.00,1,100.00,0,0.00
.override,1448,0,0.00,0,0.00,1448,100.00,0,0.00
.parsed,5565,0,0.00,4791,86.09,774,13.91,0,0.00
.pbd,10,0,0.00,0,0.00,10,100.00,0,0.00
.pdn,2,0,0.00,0,0.00,2,100.00,0,0.00
.png,37688,0,0.00,0,0.00,37688,100.00,0,0.00
.ppd,10,0,0.00,0,0.00,10,100.00,0,0.00
.psd,2,0,0.00,0,0.00,2,100.00,0,0.00
.ptd,10,0,0.00,0,0.00,10,100.00,0,0.00
.py,1,0,0.00,0,0.00,1,100.00,0,0.00
.replay,21,0,0.00,0,0.00,21,100.00,0,0.00
.rigid_model_v2,23618,21189,89.72,2191,9.28,238,1.01,0,0.00
.rpy,74,0,0.00,0,0.00,74,100.00,0,0.00
.shader,892,1,0.11,0,0.00,891,99.89,0,0.00
.skel,17,0,0.00,0,0.00,17,100.00,0,0.00
".snd,meta",1,0,0.00,0,0.00,1,100.00,0,0.00
.spine,10,0,0.00,0,0.00,10,100.00,0,0.00
.technique,3067,0,0.00,0,0.00,3067,100.00,0,0.00
.terry,1,0,0.00,0,0.00,1,100.00,0,0.00
.tga,82,0,0.00,12,14.63,70,85.37,0,0.00
.tiles,344,0,0.00,0,0.00,344,100.00,0,0.00
.ttf,13,0,0.00,0,0.00,13,100.00,0,0.00
.txt,4883,53,1.09,2,0.04,4828,98.87,0,0.00
.variantmeshdefinition,3341,0,0.00,3341,100.00,0,0.00,0,0.00
.vegetation,746,0,0.00,0,0.00,746,100.00,0,0.00
.wem,343968,343968,100.00,0,0.00,0,0.00,0,0.00
.wsmodel,17257,0,0.00,17212,99.74,45,0.26,0,0.00
.xml,11796,8517,72.20,1076,9.12,2203,18.68,0,0.00
.xml_temp,23,0,0.00,0,0.00,23,100.00,0,0.00
.xt,1,0,0.00,1,100.00,0,0.00,0,0.00
<none>,1596,70,4.39,0,0.00,1526,95.61,0,0.00
