group_type,group,total_files,NONE_count,NONE_percent,LZ4_count,LZ4_percent,ZSTD_count,ZSTD_percent,UNKNOWN_count,UNKNOWN_percent,compressed_count,compressed_percent,stored_bytes,known_original_size_files,known_original_bytes,minimum_original_bytes,maximum_original_bytes,average_original_bytes,compressed_stored_bytes,compressed_original_bytes,compressed_ratio_percent
pack,models_other.pack,1509,1509,100.00,0,0.00,0,0.00,0,0.00,0,0.00,395612730,1509,395612730,140,5185836,262168.81,0,,
pack,models.pack,15,15,100.00,0,0.00,0,0.00,0,0.00,0,0.00,1998468,15,1998468,4888,613712,133231.20,0,,
pack,models2.pack,3677,3677,100.00,0,0.00,0,0.00,0,0.00,0,0.00,897092684,3677,897092684,1210,4976352,243974.08,0,,
pack,models3.pack,4446,4446,100.00,0,0.00,0,0.00,0,0.00,0,0.00,1274178106,4446,1274178106,576,5773486,286589.77,0,,
pack,models4.pack,2475,2475,100.00,0,0.00,0,0.00,0,0.00,0,0.00,195319684,2475,195319684,576,3658992,78917.04,0,,
pack,terrain_camp_models.pack,520,520,100.00,0,0.00,0,0.00,0,0.00,0,0.00,10257576,520,10257576,1960,220864,19726.11,0,,
pack,terrain11.pack,45,0,0.00,45,100.00,0,0.00,0,0.00,45,100.00,6172794,45,10769526,140,2972240,239322.80,6172794,10769526,57.32
pack,terrain2.pack,10,0,0.00,10,100.00,0,0.00,0,0.00,10,100.00,400,10,1400,140,140,140.00,400,1400,28.57
pack,terrain3.pack,60,0,0.00,60,100.00,0,0.00,0,0.00,60,100.00,5565081,60,8407288,140,1332628,140121.47,5565081,8407288,66.19
pack,terrain4.pack,344,0,0.00,344,100.00,0,0.00,0,0.00,344,100.00,193548,344,307736,140,23224,894.58,193548,307736,62.89
pack,terrain5.pack,35,0,0.00,35,100.00,0,0.00,0,0.00,35,100.00,5405406,35,6306576,140,5321680,180187.89,5405406,6306576,85.71
pack,terrain6.pack,61,0,0.00,61,100.00,0,0.00,0,0.00,61,100.00,4922521,61,7819456,140,2949936,128187.80,4922521,7819456,62.95
pack,terrain7.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,544960,6,670664,140,238320,111777.33,544960,670664,81.26
pack,terrain8.pack,54,0,0.00,54,100.00,0,0.00,0,0.00,54,100.00,17779618,54,33724952,140,2490968,624536.15,17779618,33724952,52.72
pack,terrain9.pack,35,0,0.00,35,100.00,0,0.00,0,0.00,35,100.00,6252744,35,10611364,140,7081380,303181.83,6252744,10611364,58.92
pack,tile001.pack,53,0,0.00,53,100.00,0,0.00,0,0.00,53,100.00,8651025,53,13521422,140,6759524,255121.17,8651025,13521422,63.98
pack,tile004.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,609433,1,1266980,1266980,1266980,1266980.00,609433,1266980,48.10
pack,tile007.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,578993,1,1165616,1165616,1165616,1165616.00,578993,1165616,49.67
pack,tile009.pack,56,0,0.00,56,100.00,0,0.00,0,0.00,56,100.00,7620241,56,12133378,140,4979536,216667.46,7620241,12133378,62.80
pack,tile010.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,145272,1,292548,292548,292548,292548.00,145272,292548,49.66
pack,tile012.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,93744,1,187384,187384,187384,187384.00,93744,187384,50.03
pack,tile018.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,614786,1,1197196,1197196,1197196,1197196.00,614786,1197196,51.35
pack,tile020.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,42804,1,86072,86072,86072,86072.00,42804,86072,49.73
pack,tile021.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,385750,1,767816,767816,767816,767816.00,385750,767816,50.24
pack,tile022.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,490247,1,1029044,1029044,1029044,1029044.00,490247,1029044,47.64
pack,tile025.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,495122,1,1039320,1039320,1039320,1039320.00,495122,1039320,47.64
pack,tile027.pack,3,0,0.00,3,100.00,0,0.00,0,0.00,3,100.00,987489,3,2009552,190068,1008324,669850.67,987489,2009552,49.14
pack,tile028.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,1481413,1,3084408,3084408,3084408,3084408.00,1481413,3084408,48.03
