group_type,group,total_files,NONE_count,NONE_percent,LZ4_count,LZ4_percent,ZSTD_count,ZSTD_percent,UNKNOWN_count,UNKNOWN_percent,compressed_count,compressed_percent,stored_bytes,known_original_size_files,known_original_bytes,minimum_original_bytes,maximum_original_bytes,average_original_bytes,compressed_stored_bytes,compressed_original_bytes,compressed_ratio_percent
pack,tile029.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,831851,1,1691144,1691144,1691144,1691144.00,831851,1691144,49.19
pack,tile030.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1756030,2,3631180,1795316,1835864,1815590.00,1756030,3631180,48.36
pack,tile031.pack,3,0,0.00,3,100.00,0,0.00,0,0.00,3,100.00,1652355,3,3379692,879676,1575628,1126564.00,1652355,3379692,48.89
pack,tile032.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,3127605,6,6194152,243380,2909704,1032358.67,3127605,6194152,50.49
pack,tile033.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,647209,1,1377652,1377652,1377652,1377652.00,647209,1377652,46.98
pack,tile035.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,348457,1,716520,716520,716520,716520.00,348457,716520,48.63
pack,tile036.pack,3,0,0.00,3,100.00,0,0.00,0,0.00,3,100.00,1609234,3,3443636,626308,1997916,1147878.67,1609234,3443636,46.73
pack,tile037.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,99607,1,199080,199080,199080,199080.00,99607,199080,50.03
pack,tile038.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,1843,1,3904,3904,3904,3904.00,1843,3904,47.21
pack,tile042.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,643674,1,1316344,1316344,1316344,1316344.00,643674,1316344,48.90
pack,tile043.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,322400,6,383754,140,133616,63959.00,322400,383754,84.01
pack,tile044.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1830934,2,3832820,1654208,2178612,1916410.00,1830934,3832820,47.77
pack,tile045.pack,12,0,0.00,12,100.00,0,0.00,0,0.00,12,100.00,1153398,12,1383822,140,231120,115318.50,1153398,1383822,83.35
pack,tile047.pack,59,0,0.00,59,100.00,0,0.00,0,0.00,59,100.00,2392331,59,4882648,140,1568196,82756.75,2392331,4882648,49.00
pack,tile048.pack,46,0,0.00,46,100.00,0,0.00,0,0.00,46,100.00,498312,46,634024,140,46658,13783.13,498312,634024,78.60
pack,tile049.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,124741,6,161146,140,74454,26857.67,124741,161146,77.41
pack,tile050.pack,77,0,0.00,77,100.00,0,0.00,0,0.00,77,100.00,2607024,77,4086428,140,503236,53070.49,2607024,4086428,63.80
pack,tile051.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,2322047,2,4806800,1578564,3228236,2403400.00,2322047,4806800,48.31
pack,tile052.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,716740,2,1424852,429964,994888,712426.00,716740,1424852,50.30
pack,tile053.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,259859,1,521980,521980,521980,521980.00,259859,521980,49.78
pack,tile054.pack,36,0,0.00,36,100.00,0,0.00,0,0.00,36,100.00,2760951,36,3538822,140,228648,98300.61,2760951,3538822,78.02
pack,tile055.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,895847,2,1832748,545956,1286792,916374.00,895847,1832748,48.88
pack,tile056.pack,4,0,0.00,4,100.00,0,0.00,0,0.00,4,100.00,1692454,4,3567212,145544,2078000,891803.00,1692454,3567212,47.44
pack,tile057.pack,5,0,0.00,5,100.00,0,0.00,0,0.00,5,100.00,32144,5,42218,140,16578,8443.60,32144,42218,76.14
pack,tile058.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,637427,1,1344512,1344512,1344512,1344512.00,637427,1344512,47.41
pack,tile060.pack,17,0,0.00,17,100.00,0,0.00,0,0.00,17,100.00,935035,17,1141808,140,253600,67165.18,935035,1141808,81.89
pack,tile065.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,52648,2,71668,140,71528,35834.00,52648,71668,73.46
pack,tile066.pack,5,0,0.00,5,100.00,0,0.00,0,0.00,5,100.00,3699354,5,7519148,876812,3316300,1503829.60,3699354,7519148,49.20
pack,tile067.pack,40,0,0.00,40,100.00,0,0.00,0,0.00,40,100.00,2395501,40,3243362,140,654992,81084.05,2395501,3243362,73.86
pack,tile068.pack,8,0,0.00,8,100.00,0,0.00,0,0.00,8,100.00,512578,8,656246,140,192434,82030.75,512578,656246,78.11
pack,tile069.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,77020,1,139444,139444,139444,139444.00,77020,139444,55.23
pack,tile071.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,6114984,6,12636904,799528,3704908,2106150.67,6114984,12636904,48.39
pack,tile072.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,1294696,6,2738308,10384,1246444,456384.67,1294696,2738308,47.28
pack,tile073.pack,10,0,0.00,10,100.00,0,0.00,0,0.00,10,100.00,218045,10,300528,140,93408,30052.80,218045,300528,72.55
pack,tile074.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,79481,1,197364,197364,197364,197364.00,79481,197364,40.27
pack,tile076.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,637015,2,1275380,142540,1132840,637690.00,637015,1275380,49.95
pack,tile077.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,43176,1,87820,87820,87820,87820.00,43176,87820,49.16
pack,tile078.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,46425,2,113600,56800,56800,56800.00,46425,113600,40.87
pack,tile079.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1054066,2,2217784,706060,1511724,1108892.00,1054066,2217784,47.53
pack,tile082.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,135258,2,294888,2392,292496,147444.00,135258,294888,45.87
pack,tile083.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,535768,2,1104084,480800,623284,552042.00,535768,1104084,48.53
pack,tile084.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1152214,2,2271596,5200,2266396,1135798.00,1152214,2271596,50.72
pack,tile085.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,254939,1,520632,520632,520632,520632.00,254939,520632,48.97
pack,tile086.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,562133,1,1093972,1093972,1093972,1093972.00,562133,1093972,51.38
pack,tile087.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1034140,2,2183852,315976,1867876,1091926.00,1034140,2183852,47.35
pack,tile088.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,1385637,1,2923336,2923336,2923336,2923336.00,1385637,2923336,47.40
pack,tile089.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,781275,2,1633548,84688,1548860,816774.00,781275,1633548,47.83
pack,tile090.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,81945,2,185688,72740,112948,92844.00,81945,185688,44.13
pack,tile091.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,665308,2,1396620,690560,706060,698310.00,665308,1396620,47.64
pack,tile092.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,329184,1,780412,780412,780412,780412.00,329184,780412,42.18
pack,tile094.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,27262,6,55992,2392,34592,9332.00,27262,55992,48.69
pack,tile095.pack,3,0,0.00,3,100.00,0,0.00,0,0.00,3,100.00,844496,3,1729384,74032,1049808,576461.33,844496,1729384,48.83
pack,tile096.pack,3,0,0.00,3,100.00,0,0.00,0,0.00,3,100.00,1617447,3,3358452,12328,2916316,1119484.00,1617447,3358452,48.16
pack,tile097.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1147885,2,2265116,5200,2259916,1132558.00,1147885,2265116,50.68
pack,tile100.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,274344,1,570824,570824,570824,570824.00,274344,570824,48.06
pack,tile101.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,10323,1,20692,20692,20692,20692.00,10323,20692,49.89
pack,tile102.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1345230,2,2738616,1179700,1558916,1369308.00,1345230,2738616,49.12
pack,tile103.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,1426236,2,3023436,235056,2788380,1511718.00,1426236,3023436,47.17
pack,tile104.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,3329405,2,6808324,2923336,3884988,3404162.00,3329405,6808324,48.90
pack,tile105.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,18285,1,35524,35524,35524,35524.00,18285,35524,51.47
pack,tile106.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,220669,1,543268,543268,543268,543268.00,220669,543268,40.62
pack,tile108.pack,54,0,0.00,54,100.00,0,0.00,0,0.00,54,100.00,16229410,54,30267980,140,11434460,560518.15,16229410,30267980,53.62
pack,tile109.pack,6,0,0.00,6,100.00,0,0.00,0,0.00,6,100.00,390218,6,577136,140,295792,96189.33,390218,577136,67.61
pack,tile110.pack,14,0,0.00,14,100.00,0,0.00,0,0.00,14,100.00,2348138,14,4093186,140,1479060,292370.43,2348138,4093186,57.37
pack,tile111.pack,30,0,0.00,30,100.00,0,0.00,0,0.00,30,100.00,1362780,30,2156614,140,1237372,71887.13,1362780,2156614,63.19
pack,tile114.pack,2,0,0.00,2,100.00,0,0.00,0,0.00,2,100.00,277030,2,563604,140,563464,281802.00,277030,563604,49.15
pack,tile115.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,2129277,1,4264204,4264204,4264204,4264204.00,2129277,4264204,49.93
pack,tile116.pack,18,0,0.00,18,100.00,0,0.00,0,0.00,18,100.00,2134405,18,3588204,140,1755772,199344.67,2134405,3588204,59.48
pack,tile117.pack,22,0,0.00,22,100.00,0,0.00,0,0.00,22,100.00,3754296,22,5970100,140,1795948,271368.18,3754296,5970100,62.88
pack,tile118.pack,3,0,0.00,3,100.00,0,0.00,0,0.00,3,100.00,827390,3,1670556,4552,1499308,556852.00,827390,1670556,49.53
pack,tile119.pack,1,0,0.00,1,100.00,0,0.00,0,0.00,1,100.00,1794283,1,3704908,3704908,3704908,3704908.00,1794283,3704908,48.43
pack,tiles_campaign.pack,842,0,0.00,842,100.00,0,0.00,0,0.00,842,100.00,3524955,842,5053372,140,258896,6001.63,3524955,5053372,69.75
pack,ui.pack,238,0,0.00,0,0.00,238,100.00,0,0.00,238,100.00,2640638,238,6429412,784,201344,27014.34,2640638,6429412,41.07
pack,variants.pack,1211,1211,100.00,0,0.00,0,0.00,0,0.00,0,0.00,941247170,1211,941247170,3424,8278834,777247.87,0,,
pack,variants2_bl.pack,86,86,100.00,0,0.00,0,0.00,0,0.00,0,0.00,2001632,86,2001632,10546,34878,23274.79,0,,
pack,variants2.pack,1582,1582,100.00,0,0.00,0,0.00,0,0.00,0,0.00,664594130,1582,664594130,3784,4809256,420097.43,0,,
pack,variants3_bl.pack,29,29,100.00,0,0.00,0,0.00,0,0.00,0,0.00,926502,29,926502,20798,41950,31948.34,0,,
pack,variants3.pack,2025,2025,100.00,0,0.00,0,0.00,0,0.00,0,0.00,918140858,2025,918140858,3636,5224826,453402.89,0,,
pack,variants4_bl.pack,40,40,100.00,0,0.00,0,0.00,0,0.00,0,0.00,936168,40,936168,20632,25140,23404.20,0,,
pack,variants4.pack,2545,2545,100.00,0,0.00,0,0.00,0,0.00,0,0.00,809025888,2545,809025888,3784,2782612,317888.36,0,,
pack,variants5.pack,67,67,100.00,0,0.00,0,0.00,0,0.00,0,0.00,51814652,67,51814652,26054,2208730,773353.01,0,,
pack,vfx_models.pack,593,593,100.00,0,0.00,0,0.00,0,0.00,0,0.00,42361780,593,42361780,1388,6007634,71436.39,0,,
pack,warmachines.pack,369,369,100.00,0,0.00,0,0.00,0,0.00,0,0.00,596803610,369,596803610,140,7253226,1617353.96,0,,
directory_depth_1,art,179,179,100.00,0,0.00,0,0.00,0,0.00,0,0.00,138117608,179,138117608,23164,5185836,771606.75,0,,
directory_depth_1,battleterrain,1191,1191,100.00,0,0.00,0,0.00,0,0.00,0,0.00,250382664,1191,250382664,140,3440500,210228.94,0,,
directory_depth_1,campaign_maps,10,10,100.00,0,0.00,0,0.00,0,0.00,0,0.00,152720,10,152720,15272,15272,15272.00,0,,
directory_depth_1,matte_planes,14,14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,181900,14,181900,2556,59408,12992.86,0,,
directory_depth_1,projectiles,108,108,100.00,0,0.00,0,0.00,0,0.00,0,0.00,6357602,108,6357602,2656,794322,58866.69,0,,
directory_depth_1,rigidmodels,10613,10613,100.00,0,0.00,0,0.00,0,0.00,0,0.00,2368588942,10613,2368588942,576,5773486,223178.08,0,,
directory_depth_1,skyboxes,7,7,100.00,0,0.00,0,0.00,0,0.00,0,0.00,420236,7,420236,2556,154624,60033.71,0,,
directory_depth_1,terrain,2711,520,19.18,2191,80.82,0,0.00,0,0.00,2191,80.82,177367030,2711,310841848,140,11434460,114659.48,167109454,300584272,55.59
directory_depth_1,ui,238,0,0.00,0,0.00,238,100.00,0,0.00,238,100.00,2640638,238,6429412,784,201344,27014.34,2640638,6429412,41.07
directory_depth_1,variantmeshes,7585,7585,100.00,0,0.00,0,0.00,0,0.00,0,0.00,3388687000,7585,3388687000,3424,8278834,446761.63,0,,
directory_depth_1,vfx,593,593,100.00,0,0.00,0,0.00,0,0.00,0,0.00,42361780,593,42361780,1388,6007634,71436.39,0,,
directory_depth_1,warmachines,369,369,100.00,0,0.00,0,0.00,0,0.00,0,0.00,596803610,369,596803610,140,7253226,1617353.96,0,,
directory_depth_2,art\animated_rigids,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,201336,1,201336,201336,201336,201336.00,0,,
directory_depth_2,art\campaign,176,176,100.00,0,0.00,0,0.00,0,0.00,0,0.00,135006806,176,135006806,23164,5185836,767084.13,0,,
directory_depth_2,art\terrain_props,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,1647930,1,1647930,1647930,1647930,1647930.00,0,,
directory_depth_2,art\vfx,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,1261536,1,1261536,1261536,1261536,1261536.00,0,,
directory_depth_2,battleterrain\vegetation,1191,1191,100.00,0,0.00,0,0.00,0,0.00,0,0.00,250382664,1191,250382664,140,3440500,210228.94,0,,
directory_depth_2,campaign_maps\wh3_main_chaos_map_1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_chaos_map_2,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_chaos_map_3,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_chaos_map_4,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_combi_map_1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_combi_map_2,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_combi_map_3,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_combi_map_4,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_combi_map_5,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,campaign_maps\wh3_main_prologue_map,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_2,matte_planes,14,14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,181900,14,181900,2556,59408,12992.86,0,,
directory_depth_2,projectiles,108,108,100.00,0,0.00,0,0.00,0,0.00,0,0.00,6357602,108,6357602,2656,794322,58866.69,0,,
directory_depth_2,rigidmodels\battle_props,13,13,100.00,0,0.00,0,0.00,0,0.00,0,0.00,1984988,13,1984988,36028,613712,152691.38,0,,
directory_depth_2,rigidmodels\buildings,7112,7112,100.00,0,0.00,0,0.00,0,0.00,0,0.00,2170687618,7112,2170687618,1210,5773486,305214.79,0,,
directory_depth_2,rigidmodels\campaign,2475,2475,100.00,0,0.00,0,0.00,0,0.00,0,0.00,195319684,2475,195319684,576,3658992,78917.04,0,,
directory_depth_2,rigidmodels\debuggeometry,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0.00,13480,2,13480,4888,8592,6740.00,0,,
directory_depth_2,rigidmodels\decals,1011,1011,100.00,0,0.00,0,0.00,0,0.00,0,0.00,583172,1011,583172,576,1412,576.83,0,,
directory_depth_2,skyboxes,7,7,100.00,0,0.00,0,0.00,0,0.00,0,0.00,420236,7,420236,2556,154624,60033.71,0,,
directory_depth_2,terrain\campaigns,313,313,100.00,0,0.00,0,0.00,0,0.00,0,0.00,5923972,313,5923972,1960,220864,18926.43,0,,
directory_depth_2,terrain\tiles,2191,0,0.00,2191,100.00,0,0.00,0,0.00,2191,100.00,167109454,2191,300584272,140,11434460,137190.45,167109454,300584272,55.59
directory_depth_2,terrain\vegetation,207,207,100.00,0,0.00,0,0.00,0,0.00,0,0.00,4333604,207,4333604,3256,90242,20935.29,0,,
directory_depth_2,ui\3dui,238,0,0.00,0,0.00,238,100.00,0,0.00,238,100.00,2640638,238,6429412,784,201344,27014.34,2640638,6429412,41.07
directory_depth_2,variantmeshes\_variantmodels,33,33,100.00,0,0.00,0,0.00,0,0.00,0,0.00,9961978,33,9961978,7560,2885748,301878.12,0,,
directory_depth_2,variantmeshes\wh_variantmodels,7552,7552,100.00,0,0.00,0,0.00,0,0.00,0,0.00,3378725022,7552,3378725022,3424,8278834,447394.73,0,,
directory_depth_2,vfx\models,593,593,100.00,0,0.00,0,0.00,0,0.00,0,0.00,42361780,593,42361780,1388,6007634,71436.39,0,,
directory_depth_2,warmachines\aircraft,41,41,100.00,0,0.00,0,0.00,0,0.00,0,0.00,22728210,41,22728210,140,7061012,554346.59,0,,
directory_depth_2,warmachines\carriage,12,12,100.00,0,0.00,0,0.00,0,0.00,0,0.00,34276530,12,34276530,761948,3938778,2856377.50,0,,
directory_depth_2,warmachines\chariot,111,111,100.00,0,0.00,0,0.00,0,0.00,0,0.00,162879004,111,162879004,187084,5473352,1467378.41,0,,
directory_depth_2,warmachines\engines,205,205,100.00,0,0.00,0,0.00,0,0.00,0,0.00,376919866,205,376919866,10302,7253226,1838633.49,0,,
directory_depth_3,art\animated_rigids,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,201336,1,201336,201336,201336,201336.00,0,,
directory_depth_3,art\campaign\chariots,95,95,100.00,0,0.00,0,0.00,0,0.00,0,0.00,76830242,95,76830242,23164,5185836,808739.39,0,,
directory_depth_3,art\campaign\fauna,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0.00,77196,2,77196,37404,39792,38598.00,0,,
directory_depth_3,art\campaign\ships,79,79,100.00,0,0.00,0,0.00,0,0.00,0,0.00,58099368,79,58099368,34080,2239300,735435.04,0,,
directory_depth_3,art\terrain_props\chs_bworm_01,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,1647930,1,1647930,1647930,1647930,1647930.00,0,,
directory_depth_3,art\vfx\meshes,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,1261536,1,1261536,1261536,1261536,1261536.00,0,,
directory_depth_3,battleterrain\vegetation\trees,1191,1191,100.00,0,0.00,0,0.00,0,0.00,0,0.00,250382664,1191,250382664,140,3440500,210228.94,0,,
directory_depth_3,campaign_maps\wh3_main_chaos_map_1\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_chaos_map_2\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_chaos_map_3\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_chaos_map_4\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_combi_map_1\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_combi_map_2\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_combi_map_3\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_combi_map_4\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_combi_map_5\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,campaign_maps\wh3_main_prologue_map\display,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,15272,1,15272,15272,15272,15272.00,0,,
directory_depth_3,matte_planes,14,14,100.00,0,0.00,0,0.00,0,0.00,0,0.00,181900,14,181900,2556,59408,12992.86,0,,
directory_depth_3,projectiles,108,108,100.00,0,0.00,0,0.00,0,0.00,0,0.00,6357602,108,6357602,2656,794322,58866.69,0,,
directory_depth_3,rigidmodels\battle_props\brt_ladders,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0.00,139104,3,139104,46112,46496,46368.00,0,,
directory_depth_3,rigidmodels\battle_props\cst_ladders,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,613712,1,613712,613712,613712,613712.00,0,,
directory_depth_3,rigidmodels\battle_props\def_ladders,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0.00,324008,1,324008,324008,324008,324008.00,0,,
directory_depth_3,rigidmodels\battle_props\emp_ladders,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0.00,129782,3,129782,43008,43616,43260.67,0,,
directory_depth_3,rigidmodels\battle_props\glb_ladders,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0.00,159842,2,159842,37424,122418,79921.00,0,,
